20184105,말모이,12세이상관람가,엄유나,20190109,2657876,135,한국,드라마
20176251,내안의 그놈,15세이상관람가,강효진,20190109,1871125,122,한국,판타지
20185124,러브 유어셀프 인 서울,전체관람가,,20190126,180966,111,한국,공연
20189463,주먹왕 랄프 2: 인터넷 속으로,전체관람가,리치 무어,20190103,1735231,112,미국,애니메이션
20182544,글래스,15세이상관람가,M. 나이트 샤말란,20190117,452460,129,미국,드라마
20186324,언더독,전체관람가,오성윤,20190116,176777,101,한국,애니메이션
20185485,보헤미안 랩소디,12세이상관람가,브라이언 싱어,20181031,9910498,134,미국,드라마
20184574,그린 북,12세이상관람가,피터 패럴리,20190109,210656,130,미국,드라마
20189385,몬스터 파크,전체관람가,안드레스 코투리어,20190123,30571,86,영국,애니메이션
20180290,아쿠아맨,12세이상관람가,제임스 완,20181219,5019234,143,미국,액션
20183915,극장판 공룡메카드: 타이니소어의 섬,전체관람가,최신규,20190110,379564,70,한국,애니메이션
20182588,미래의 미라이,전체관람가,호소다 마모루,20190116,77985,97,일본,애니메이션
20186281,범블비,12세이상관람가,트래비스 나이트,20181225,1553491,113,미국,액션
20170658,PMC: 더 벙커,15세이상관람가,김병우,20181226,1665204,124,한국,액션
20175547,스윙키즈,12세이상관람가,강형철,20181219,1462874,133,한국,드라마
20183785,점박이 한반도의 공룡2 : 새로운 낙원,전체관람가,한상호,20181225,521053,93,한국,애니메이션
20184187,언니,청소년관람불가,임경택,20190101,172338,93,한국,액션
20182421,그린치,전체관람가,스콧 모시어,20181219,543813,89,미국,애니메이션
20168773,마약왕,청소년관람불가,우민호,20181219,1787826,139,한국,범죄
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,전체관람가,타카하시 와타루,20181219,259753,103,일본,애니메이션
20183238,스파이더맨: 뉴 유니버스,12세이상관람가,밥 퍼시케티,20181212,628327,116,미국,애니메이션
20177552,국가부도의 날,12세이상관람가,최국희,20181128,3723913,114,한국,드라마
20179230,도어락,15세이상관람가,이권,20181205,1546002,101,한국,스릴러
